Node, Degree 
1558,8
1,3
6399,5
18125,5
3826,17
2,8
5225,43
5886,103
6738,44
7144,16
10541,75
18097,76
20242,31
3091,57
3,2
4260,8
7444,19
4,4
9588,4
11492,8
19002,21
1571,6
5,5
5382,13
11485,8
12206,6
16221,34
2190,4
6,2
7725,8
1931,2
7,3
17731,1
20338,20
841,4
8,20
1453,19
1946,4
5878,3
6253,49
6609,4
7301,5
7389,6
9025,29
9487,2
12949,40
13338,46
13537,9
15147,4
16135,8
16164,13
17096,4
19770,14
20784,12
21047,20
223,43
9,6
240,32
6831,12
11322,11
15050,24
17139,9
1393,16
10,6
5516,13
6588,5
11731,3
12243,4
13309,3
2042,8
11,4
17042,3
17481,3
19676,5
3076,86
12,7
4571,7
7665,7
13250,13
16689,98
16962,8
19522,12
14,7
13,9
1071,19
1312,26
4529,3
6042,15
8013,13
9533,51
10651,17
18736,3
3260,42
15,12
4844,18
5200,7
5903,2
7105,4
8826,4
13463,56
14490,17
14806,12
16769,32
18645,5
20385,8
1797,37
16,9
2467,6
3107,148
6071,18
8075,21
9287,45
10462,12
12301,58
14727,19
6894,9
17,3
7257,3
10257,9
7043,2
18,2
14155,7
20,1
19,4
5087,21
18528,7
20135,29
11267,8
21,2
15743,7
9113,2
22,3
12920,3
13039,11
942,4
23,9
3825,4
5178,3
5449,5
5721,10
9560,13
9750,1
16334,8
19096,5
2390,9
24,9
9332,14
9595,9
13069,18
13516,9
18550,14
18782,14
21180,9
21181,9
4274,8
25,2
17458,43
1070,6
26,3
5702,9
12192,6
6214,5
27,10
8146,10
8352,35
10170,5
16286,5
18109,8
18590,5
19296,5
20714,6
20730,33
9114,12
28,7
9244,7
11808,14
13375,7
18598,28
20666,16
20824,16
31,17
29,11
555,16
8000,19
11782,21
13076,5
13439,8
13645,10
13768,55
16556,38
17175,38
18326,17
695,3
30,14
4211,9
7034,17
7958,3
8910,7
10071,5
10135,9
11676,6
13757,18
14355,6
14563,279
14722,15
15256,11
17377,9
461,76
8740,48
9476,13
10385,14
13044,40
17064,12
18364,13
18627,30
18667,6
18673,20
20191,6
441,23
32,12
1658,13
2884,6
2892,10
4706,13
4944,21
9872,28
10163,6
17790,5
19441,5
19776,15
20033,32
3434,6
33,6
4755,15
15781,8
17738,14
19264,18
21091,11
856,19
34,10
2728,19
7574,3
7728,4
8669,24
8918,7
16811,4
17342,3
19963,14
20771,44
1482,90
35,20
1972,38
4455,31
4585,32
5197,99
5356,104
6202,97
8278,53
8961,76
9370,72
9598,33
10485,32
10687,24
10752,60
11389,16
12800,41
13220,50
14598,16
15491,32
382,49
36,4
4601,4
10725,4
18045,124
3255,6
37,6
7191,22
13915,6
14275,6
18898,6
20455,6
19791,4
38,1
402,9
39,9
2493,11
3777,6
5029,46
5385,12
14067,37
17162,5
18797,6
19828,22
6968,21
40,6
8182,14
9240,25
11240,26
19058,10
19328,8
3071,16
41,5
4190,3
6785,5
8809,3
17212,26
6972,28
42,8
7206,20
7494,41
13614,18
17379,18
19550,12
20709,8
20745,17
3147,19
43,13
6346,18
6759,22
6780,15
8038,18
9032,29
10415,13
13761,17
15021,20
15295,17
15945,11
19960,13
20665,4
1361,12
44,17
2300,6
4658,11
5141,25
6098,74
6230,14
6940,2
8554,40
9085,5
10277,5
11190,92
11636,25
12841,8
12978,3
14002,23
15220,26
18201,26
1934,84
45,2
12184,12
1481,15
46,14
2134,14
3719,14
4165,14
5622,19
5646,14
8274,14
9567,14
11449,14
12703,14
14420,14
14947,29
15000,14
16796,15
3676,25
47,11
4790,43
4870,30
10351,3
12672,10
13270,17
14143,11
15346,3
15792,3
16948,19
18356,11
316,6
48,15
1090,5
3287,6
3690,5
4085,33
5984,21
6011,6
9310,8
14172,4
14359,2
14585,8
14632,8
16507,45
17972,6
18825,5
6235,16
49,2
9926,21
321,38
50,15
976,56
1611,22
2950,29
4235,22
8953,19
9161,142
9793,30
10439,10
12356,14
16498,37
16628,63
16887,14
19644,22
20862,8
442,42
51,6
2656,122
4855,10
5724,27
9442,30
12694,6
1685,13
52,8
2707,8
5169,18
5250,16
5259,22
10898,5
19541,27
21303,10
10457,14
53,2
13544,5
98,3
54,10
1709,94
7921,12
8996,3
11996,58
12764,2
14582,3
18497,16
19705,10
21051,7
7261,8
55,3
7696,5
12752,3
4358,19
56,2
4516,2
3972,4
57,3
5243,101
11752,4
9838,16
58,3
16023,25
18700,7
930,6
59,13
1641,59
1954,5
5193,6
7138,31
7565,21
9038,13
12510,35
16683,4
17051,4
18203,5
20227,64
21315,6
958,18
60,8
1521,30
2243,28
9480,6
12123,96
18803,7
20495,6
20985,22
2458,10
61,9
5963,26
15057,44
17258,27
19900,50
20529,13
20607,9
20842,29
21112,9
2962,43
62,13
6205,22
8837,67
9289,11
9684,53
11283,23
12049,17
17450,64
17563,15
18691,6
20295,38
20346,10
20458,6
1930,42
63,3
10557,3
17970,4
1817,5
64,4
11991,11
16475,19
20980,5
13455,2
65,3
17640,13
18750,2
12076,7
66,1
5807,10
67,3
11615,3
12874,31
1205,8
68,9
1613,17
2941,14
11432,9
13489,21
14053,7
15303,28
18075,52
19530,13
1093,19
69,15
1715,10
2253,94
3762,21
7356,24
7455,17
8462,24
11186,5
12922,8
13470,5
14135,40
16149,15
18417,25
18808,25
20153,165
11438,1
70,2
19559,13
774,23
71,7
3382,6
6363,5
8170,9
9249,6
12271,7
17408,7
6199,6
72,4
7679,15
19116,10
20792,4
2288,3
73,7
2850,37
8206,31
13980,21
15452,1
20172,1
20412,25
273,8
74,7
3402,1
3700,12
13418,13
15899,7
16335,2
6069,4
75,4
7250,53
7583,33
12060,4
4380,13
76,4
9103,3
9586,12
11530,1
2617,24
77,15
2661,10
2671,23
3533,22
3560,8
5136,19
6651,10
8132,10
11555,10
12512,10
14033,10
14079,26
15693,36
19232,10
7283,24
78,6
7963,2
8083,2
13558,4
16294,4
17174,4
1322,27
79,13
7862,26
7884,2
8149,7
8816,5
9639,51
11201,7
13037,10
18567,89
18575,72
19447,16
19514,6
20185,6
9470,12
80,2
13437,2
1315,31
81,5
6196,30
17272,6
17432,9
20821,13
1365,12
82,10
2303,32
3203,10
4971,18
6458,32
9891,17
11243,16
12051,20
18641,20
20163,25
3672,19
83,4
5360,4
15588,19
19868,16
86,6
84,3
532,4
14715,10
6535,9
85,3
20273,17
20473,3
2268,48
17171,49
20077,15
601,13
87,3
5192,3
21255,15
2634,9
88,6
2905,5
3252,6
3440,2
13578,2
20418,6
363,6
89,4
7778,10
11095,4
15100,4
1127,9
90,5
8441,5
13721,14
14981,7
17747,7
672,13
91,21
1102,4
5023,11
5358,8
5538,37
7572,23
8207,7
10410,26
11157,86
11726,71
11914,5
12124,10
12126,20
12835,24
14425,30
14663,3
16399,4
17466,12
18112,3
19005,3
20463,6
992,21
92,8
14041,15
14531,80
17475,8
18206,18
19340,51
20327,81
20631,10
4801,20
93,1
113,90
94,14
2241,64
2341,38
3423,46
3427,38
9170,74
10903,32
15304,10
15488,26
16888,25
18176,18
19071,119
20662,32
451,9
95,9
2500,2
2969,8
4206,24
5534,3
6308,28
6748,12
6913,58
20932,33
2711,5
96,4
14710,17
18817,4
10012,7
97,3
469,17
99,5
2110,42
5508,8
11247,101
13060,40
5968,9
100,11
9197,42
9316,9
9805,4
12190,13
12644,9
15839,29
15980,36
17663,27
19213,4
20396,9
2127,9
101,5
7040,5
15771,5
17192,5
20292,5
1719,19
102,14
2808,17
5365,12
5993,19
10862,19
12916,1
15081,15
15695,11
15880,11
17825,15
18349,2
19607,15
1438,6
103,7
1777,6
13482,11
15843,6
15978,5
19309,6
20383,9
1234,12
104,14
5479,12
6611,12
7552,12
9824,12
11846,12
12456,21
15946,18
16881,57
18634,5
18919,12
18941,24
19902,12
20490,12
5208,8
105,9
7099,3
8269,24
8717,7
8745,3
14838,13
15022,24
15802,4
17616,45
13207,5
106,3
13916,3
16466,6
1191,3
107,28
2326,50
2503,6
4388,43
6277,7
6358,34
6629,24
7865,8
8245,30
8511,4
8833,7
10905,92
11295,9
11643,12
11672,26
12706,64
13166,5
14516,6
14647,36
15039,43
15150,5
15252,6
16677,4
16719,7
16939,6
16956,4
18248,7
20478,3
108,5
2921,16
536,4
109,2
19654,32
1314,6
110,14
3957,11
5002,8
6566,27
7175,5
8670,4
10007,6
10897,11
13143,6
14644,5
16746,10
18035,21
599,6
111,4
895,21
4547,14
13414,22
126,10
112,10
3668,25
5348,27
8447,20
8946,19
10460,252
10866,22
14228,76
16172,47
1048,33
1708,13
1720,3
1744,37
2251,6
2789,8
3233,22
3240,19
3360,13
3756,36
4011,15
4253,19
4355,4
4732,2
5249,106
5474,12
5509,4
6519,30
6948,11
7063,13
7171,42
7630,15
7839,54
7846,6
7875,15
8124,10
8144,57
8736,11
9252,52
9956,14
10207,19
10314,9
10480,25
10626,19
11448,15
11493,5
11771,16
11967,60
12170,30
12582,5
12583,31
13433,36
13641,31
13978,89
14231,10
15313,48
15720,11
15923,39
15947,18
16518,128
16527,32
16891,5
17525,5
17715,27
17796,6
18479,9
18830,36
18947,130
19216,13
19237,13
20002,26
20934,9
21269,4
3167,5
114,5
5432,5
10475,5
14861,13
20442,16
1442,46
115,3
2438,3
9367,6
405,22
116,36
765,13
1169,16
2513,32
2861,8
4619,12
4920,31
5426,15
5727,8
5899,15
6924,36
7677,1
8150,14
10993,10
11070,35
13278,14
13847,20
14795,68
15145,22
16249,1
16338,30
16581,1
17528,4
17577,23
17894,20
18299,52
18584,31
20359,42
20543,2
20733,16
20942,29
21007,28
21094,25
10467,8
117,4
11680,22
14198,9
18865,4
5710,63
118,3
6767,10
10198,6
9058,4
119,3
12299,7
19552,3
16011,11
120,2
16224,2
274,36
121,20
364,73
474,15
735,1
1577,7
1630,13
1794,1
2184,4
10320,36
11004,6
15281,25
16729,24
17430,10
17586,23
17832,23
18153,5
19008,16
20462,41
20991,4
15266,4
122,1
3916,6
123,1
2788,9
124,9
6587,12
7096,9
8532,36
10820,22
10927,15
16623,20
20454,9
513,7
125,5
1684,47
6353,2
11083,15
17123,12
3968,10
127,3
17113,17
19024,2
3893,7
128,5
10447,56
10689,5
15308,35
17754,8
307,4
129,5
5014,3
9093,7
11324,2
17239,3
875,4
130,3
2328,12
9198,1
6546,5
131,4
8205,7
14580,4
17107,5
5442,6
132,6
7065,38
12244,23
12569,16
13073,13
17619,38
2736,3
133,3
2812,20
7097,23
925,4
134,15
1177,15
1902,4
6450,6
6712,70
8220,29
14940,5
15812,15
16062,9
16065,3
16103,22
19509,11
19837,25
20787,15
4096,28
135,1
456,2
136,2
7150,9
1633,42
137,8
2629,8
2841,13
3422,7
6080,12
13189,13
16211,18
16273,26
9090,6
138,4
9742,16
14465,77
17423,9
195,13
139,28
4002,35
4245,9
5629,28
5714,21
6345,17
7208,14
7621,9
8270,27
11214,39
11502,67
13277,35
13464,25
14431,25
15642,63
15722,26
17524,66
20101,6
20775,21
20972,15
21199,22
346,52
140,8
821,9
1543,4
10943,2
10955,42
15082,3
15740,4
18209,5
141,15
2237,6
5587,16
8008,4
9701,44
10290,11
10956,4
12698,11
13776,20
14723,11
16417,15
18747,33
18810,22
20387,23
17937,5
142,1
2542,2
143,2
17543,5
2133,3
144,5
9472,15
12775,29
18852,2
18968,2
2032,88
145,4
3491,9
10214,9
14915,18
8348,25
146,1
1223,38
147,6
1647,7
2595,6
4196,8
7322,6
8062,6
325,5
148,7
1889,3
4128,9
6695,22
11475,5
12104,26
14278,5
3428,7
149,8
6206,8
13520,7
14866,7
15617,7
15867,9
18145,33
19569,7
180,14
150,29
1696,71
3109,12
3202,37
3264,18
4492,6
4787,33
4838,65
6521,75
6879,32
7056,33
7615,19
7997,18
8870,37
9488,2
9600,13
10464,87
10634,18
11434,2
11660,2
16562,14
17406,111
19145,4
20287,31
20858,19
1200,6
151,4
1778,4
4562,4
14621,11
5549,7
152,10
5911,7
7543,3
9929,7
10836,20
10848,38
12035,7
12907,7
15481,10
16713,3
4454,7
153,2
4893,12
154,8
6897,13
7461,2
13943,8
14361,7
15936,6
17878,11
18739,6
423,11
155,1
156,1
351,2
157,2
1732,4
8242,15
158,1
7657,2
159,6
9572,3
10454,45
13074,4
15703,5
17346,2
948,7
160,25
1038,21
3180,14
3186,78
3187,21
6963,32
7851,9
8547,35
8714,93
9154,84
9155,48
10451,90
10453,82
12666,47
13432,39
14134,59
17610,62
17836,31
18839,17
20633,7
20940,37
443,28
161,30
1535,48
2908,15
2993,14
4277,33
4392,49
5616,42
6035,8
8358,22
9549,14
9622,35
9810,38
9989,4
10452,15
10872,4
12307,66
12484,9
13317,25
13597,2
15168,17
15269,29
15659,28
17446,9
17591,28
18477,4
19747,62
20392,1
162,3
16348,9
1650,14
163,9
9186,4
9192,19
12776,3
16739,7
16760,3
17813,5
19523,6
19980,4
9977,15
164,1
4816,28
165,4
12530,4
14034,8
17818,14
7119,16
166,4
11696,8
17372,21
18611,19
1174,11
167,1
168,3
7673,19
10773,22
2588,8
169,12
2613,5
5341,31
8367,5
11648,48
12183,8
14169,8
15537,8
16657,10
19885,18
2242,2
170,2
6197,10
8183,3
171,3
8871,3
9384,63
4093,94
172,6
7317,27
8453,32
10973,30
15472,83
15598,201
174,3
173,10
431,12
3139,17
3882,7
5117,7
11000,22
13134,11
19773,23
19775,3
20488,6
9623,10
175,2
12969,11
4285,11
176,11
5551,11
7450,20
8725,17
8797,17
11767,33
11849,51
16230,20
18446,28
18525,11
177,9
8044,4
11455,20
11815,6
14150,23
15581,4
16473,31
16629,10
19162,67
397,4
178,10
549,15
4487,13
9282,5
10448,48
11864,19
12173,3
13193,4
18962,22
21229,18
179,15
3258,15
4065,27
4648,182
5039,30
6580,15
7090,8
8034,24
9596,8
11344,14
13736,8
16040,29
19433,190
20719,13
2432,3
3504,8
4695,5
5505,6
6227,4
6428,6
7838,6
10427,35
12964,11
13267,11
16705,4
20452,4
1757,16
181,17
1762,12
2781,13
3015,16
3724,13
4389,9
4390,9
4742,12
5316,13
6573,12
8667,12
9106,4
16064,60
16098,12
18813,13
18859,12
18860,12
1159,4
182,13
4042,7
7189,5
8535,8
10579,4
11260,6
14147,4
14314,17
15045,9
6204,30
183,1
5591,28
184,3
20079,9
699,12
185,7
2034,33
8002,7
12728,35
13438,33
16315,11
1997,8
186,4
4940,4
8798,15
14719,7
12341,18
187,3
19166,24
19851,5
393,19
188,8
3291,6
3784,9
8732,9
11265,7
12511,8
13378,10
1998,2
189,3
12021,20
14030,28
1172,5
190,4
7001,50
9369,2
11402,3
191,2
6711,8
192,4
12565,9
16912,24
18191,7
422,10
193,2
3769,6
8303,39
194,2
14056,8
8086,8
196,4
20688,4
410,63
197,120
2937,22
3133,12
3479,56
3992,9
4578,19
4624,6
4714,20
5453,22
5575,40
5593,22
5943,22
6372,22
6682,58
6828,22
6960,8
7091,19
7426,15
7488,7
7497,74
7915,22
8007,6
8084,29
8085,6
8147,11
8179,35
8592,17
8637,11
8784,7
9118,45
9133,12
9242,40
9674,6
10002,34
10031,59
10080,18
10133,24
10134,21
10935,23
11148,9
11545,91
11720,35
11890,74
12092,12
12160,22
12304,42
12435,9
12501,13
12731,17
12732,98
12892,44
12984,7
13000,36
13009,45
13030,10
13045,30
13248,33
13255,55
13373,31
13374,13
13502,22
13587,7
13613,11
13627,13
13669,13
14968,27
15003,18
15419,31
15578,46
15584,19
15925,30
16307,5
16308,11
16560,44
16727,22
16941,30
17877,68
17920,4
18020,22
18435,22
18581,11
18586,40
18603,13
18672,52
19094,14
19434,67
19440,7
19450,11
19451,34
19462,50
19998,10
20032,14
20184,26
20410,55
20761,9
20876,20
21036,28
21184,37
5628,30
198,4
17381,3
320,10
199,3
9655,20
16776,17
825,11
200,5
3922,13
19659,28
13631,14
201,1
322,25
202,8
1701,10
8313,32
8433,11
9559,8
13419,26
13459,8
16299,9
808,14
203,12
3478,16
4053,12
5735,6
6398,2
11393,7
12554,27
13106,9
14595,21
17076,5
17954,2
18881,7
16479,18
204,2
18770,23
19083,10
205,1
9983,5
206,2
11469,16
2013,20
207,15
2056,56
3443,43
5330,17
5843,11
8160,45
12289,11
12308,11
17492,47
18379,8
19809,11
9708,10
208,1
2292,16
209,16
5190,16
5323,16
9410,16
9613,16
10084,18
10422,16
11271,16
12128,18
13479,16
16323,16
17196,16
