Node, Degree 
48,39
1,36
63,48
126,131
129,34
156,7
201,50
206,105
228,57
282,85
335,115
347,99
373,12
390,55
477,40
527,45
558,31
581,44
603,74
626,72
648,63
679,145
716,49
851,88
924,88
939,39
965,86
1005,65
1078,61
1096,38
1107,44
1191,60
1456,142
1458,53
1464,134
1470,118
1505,90
6,7
2,85
11,46
12,115
24,61
29,153
49,31
52,96
78,79
115,184
146,74
189,99
191,45
192,27
195,40
216,78
229,188
235,32
238,100
252,34
266,89
271,71
303,97
324,144
340,32
372,40
409,38
418,256
421,129
424,62
464,125
475,112
476,107
491,57
512,33
550,32
559,84
561,39
647,84
678,75
717,51
745,119
754,35
758,61
788,53
792,154
795,24
809,57
816,99
840,25
855,39
857,76
900,202
932,46
934,113
959,117
966,128
995,85
1018,28
1048,29
1050,153
1054,124
1066,71
1074,138
1081,8
1092,23
1117,87
1163,55
1210,64
1249,27
1254,129
1261,211
1277,22
1278,90
1305,43
1331,40
1376,101
1411,2
1431,129
1461,44
1467,47
1487,38
1499,123
8,69
3,56
28,163
43,45
118,62
148,39
180,54
243,43
272,47
323,37
330,30
549,36
552,58
611,93
629,88
639,83
650,219
659,31
742,79
746,31
772,52
781,115
786,34
861,53
874,64
908,131
951,23
1124,24
1144,54
1192,19
1202,97
1270,40
1271,102
1298,45
1381,55
1395,27
1516,33
4,14
284,19
370,64
898,36
1115,26
1369,6
1485,31
18,58
5,47
38,68
41,75
55,15
117,43
141,44
145,71
226,62
261,46
267,116
314,54
327,59
351,83
394,41
412,99
450,103
458,70
632,77
657,63
660,89
663,38
689,84
714,72
731,13
750,160
764,48
769,69
829,20
835,45
859,69
886,92
972,82
1017,98
1068,87
1077,72
1136,50
1180,37
1196,57
1209,65
1242,82
1283,12
1296,104
1304,22
1323,84
1335,31
1496,49
892,58
944,114
237,57
7,5
875,23
1313,56
121,51
154,149
249,25
269,80
285,36
286,126
366,125
437,59
444,75
479,65
538,84
555,48
572,97
627,71
687,74
703,131
715,49
755,29
762,83
867,209
877,30
933,108
952,135
958,17
969,56
978,43
1103,90
1118,34
1146,71
1195,43
1225,61
1246,19
1273,82
1307,79
1308,45
1386,60
1480,37
14,39
9,77
15,43
51,156
86,87
100,38
106,219
130,46
159,53
171,21
178,50
188,37
217,90
223,300
232,13
257,72
259,43
265,94
297,11
300,141
312,64
313,23
329,53
362,91
395,43
400,31
408,42
443,50
455,111
492,53
518,222
546,269
554,27
589,10
656,41
676,33
693,45
696,20
752,8
823,20
832,37
918,67
921,24
928,21
938,18
940,53
1093,236
1106,66
1132,163
1148,129
1156,78
1175,63
1182,70
1190,48
1200,57
1214,16
1237,46
1238,9
1289,150
1295,48
1316,100
1333,18
1363,22
1366,16
1377,39
1383,27
1397,34
1400,16
1407,11
1430,72
1436,50
1447,35
1449,49
1460,80
1475,99
1478,86
31,53
10,22
58,26
151,44
172,13
301,80
304,35
325,94
413,25
543,113
604,70
637,33
658,23
664,70
732,36
993,121
1069,20
1086,56
1203,3
1410,113
1490,148
270,22
290,20
299,50
415,22
419,17
642,5
692,74
824,20
937,42
943,9
963,43
1016,53
1063,31
1075,48
1137,37
1264,51
1279,18
1357,23
1380,110
1444,10
1468,29
42,40
64,58
68,34
119,53
131,16
160,75
165,47
194,25
198,178
199,108
227,67
298,51
445,75
454,26
473,15
486,34
537,43
579,17
586,83
594,43
596,87
620,2
635,83
690,87
780,87
834,5
871,70
916,31
942,40
1019,15
1024,3
1042,32
1111,59
1122,51
1130,76
1152,39
1158,55
1170,57
1172,47
1213,73
1345,80
1399,62
1402,31
1439,34
1484,23
13,11
432,8
856,8
53,67
83,55
112,73
164,82
168,122
177,125
239,53
345,86
385,62
386,37
621,69
654,69
682,35
784,58
872,43
919,90
1037,38
1315,156
435,46
548,112
665,66
749,72
785,40
901,39
997,71
1052,55
1181,41
590,28
16,5
623,141
726,23
909,30
528,1
17,1
152,88
308,45
344,53
358,112
482,53
511,73
521,53
542,68
564,54
571,64
585,69
694,29
702,57
722,150
724,146
798,46
843,95
846,69
957,45
984,125
985,62
1085,46
1097,17
1104,36
1123,67
1145,102
1311,75
1317,79
1504,79
1509,54
32,59
19,79
50,40
135,54
225,51
246,17
276,53
293,16
356,63
410,70
416,33
462,45
539,57
551,54
602,28
709,45
733,20
740,35
765,49
805,15
810,68
821,28
964,47
994,56
1023,72
1033,32
1053,43
1056,28
1058,77
1065,31
1120,32
1162,52
1166,37
1177,50
1324,66
1472,47
1476,19
20,77
133,58
157,56
183,56
277,55
281,34
361,40
369,86
380,29
391,63
398,37
406,53
446,113
452,102
504,29
509,37
514,60
531,63
544,44
547,114
573,79
598,1
644,45
645,63
681,136
849,52
878,94
923,20
1025,102
1040,15
1084,58
1087,47
1090,112
1187,77
1189,45
1199,54
1250,24
1284,70
1287,79
1328,45
1332,33
1443,50
1466,94
21,45
149,54
169,55
224,28
256,7
339,44
411,33
587,39
625,56
662,78
